,droplet_count,time_in_s,added_size
0,144,-0.018333333333333333,78020
1,136,0.15000000000000002,81219
2,133,0.3166666666666667,82450
3,128,0.48333333333333334,82270
4,134,0.65,82061
5,129,0.8166666666666668,81792
6,144,0.9833333333333334,82846
7,163,1.1500000000000001,86462
8,167,1.3166666666666667,86345
9,162,1.4833333333333334,85742
10,175,1.6500000000000001,87545
11,185,1.8166666666666669,86744
12,157,1.9833333333333334,88651
13,158,2.1500000000000004,88337
14,176,2.316666666666667,89900
15,160,2.4833333333333334,89839
16,152,2.6500000000000004,91788
17,171,2.816666666666667,91878
18,177,2.9833333333333334,92912
19,162,3.1500000000000004,92195
20,165,3.316666666666667,91946
21,184,3.4833333333333334,91421
22,178,3.6500000000000004,88743
23,190,3.816666666666667,73403
24,163,3.9833333333333334,48482
25,162,4.15,44744
26,204,4.316666666666667,31646
27,206,4.483333333333333,31331
28,191,4.65,31808
29,196,4.816666666666667,31648
30,176,4.983333333333333,32009
31,174,5.15,31962
32,184,5.316666666666667,32399
33,178,5.483333333333333,31793
34,176,5.65,32000
35,186,5.816666666666667,31810
36,176,5.983333333333333,31418
37,179,6.15,31224
38,172,6.316666666666667,31802
39,186,6.483333333333333,31140
40,171,6.65,31329
41,192,6.816666666666667,31543
42,163,6.983333333333333,30951
43,173,7.15,31481
44,173,7.316666666666667,31316
45,182,7.483333333333333,31522
46,193,7.65,31239
47,186,7.816666666666667,31486
48,181,7.983333333333334,31781
49,194,8.15,31943
50,203,8.316666666666666,31975
51,184,8.483333333333334,31413
52,174,8.65,31706
53,194,8.816666666666666,31381
54,172,8.983333333333334,31335
55,181,9.15,31474
56,177,9.316666666666666,31524
57,181,9.483333333333334,31513
58,181,9.65,31545
59,178,9.816666666666666,31713
60,179,9.983333333333334,31843
61,173,10.15,31543
62,180,10.316666666666668,31554
63,184,10.481666666666667,31600
64,194,10.648333333333333,32304
65,187,10.815000000000001,31734
66,181,10.981666666666667,32360
67,180,11.148333333333333,31932
68,170,11.315000000000001,32043
69,186,11.481666666666667,31740
70,190,11.648333333333333,32530
71,177,11.815000000000001,32409
72,161,11.981666666666667,32549
73,181,12.148333333333333,32202
74,177,12.315000000000001,32210
75,180,12.481666666666667,32722
76,181,12.648333333333333,32559
77,182,12.815000000000001,32160
78,181,12.981666666666667,32949
79,176,13.148333333333333,31602
80,181,13.315000000000001,32469
81,195,13.481666666666667,32120
82,190,13.648333333333333,32597
83,184,13.815000000000001,32583
84,173,13.981666666666667,32268
85,179,14.148333333333333,32301
86,186,14.315000000000001,32396
