,droplet_count,time_in_s,added_size
0,271,-0.02,176013
1,273,0.14833333333333334,179723
2,273,0.315,183023
3,275,0.4816666666666667,180765
4,297,0.6483333333333335,184011
5,295,0.8150000000000002,184038
6,267,0.9816666666666667,187847
7,263,1.1483333333333334,188011
8,296,1.3150000000000002,188638
9,289,1.4816666666666667,189294
10,272,1.6816666666666669,190523
11,271,1.8483333333333334,194611
12,264,2.015,193939
13,304,2.1816666666666666,195254
14,270,2.3483333333333336,196121
15,264,2.515,200175
16,284,2.6816666666666666,199874
17,306,2.8483333333333336,199740
18,301,3.015,199719
19,301,3.181666666666667,201268
20,280,3.3483333333333336,202703
21,278,3.515,204370
22,279,3.681666666666667,204669
23,301,3.8483333333333336,207408
24,272,4.015000000000001,208644
25,269,4.181666666666667,210232
26,269,4.348333333333334,208570
27,271,4.515000000000001,195649
28,265,4.681666666666667,172304
29,263,4.848333333333334,127957
30,238,5.015000000000001,113988
31,262,5.181666666666667,77198
32,267,5.348333333333334,79315
33,281,5.515000000000001,80522
34,285,5.681666666666667,79277
35,301,5.848333333333334,80145
36,297,6.015000000000001,80079
37,167,6.181666666666667,81296
38,315,6.348333333333334,81278
39,303,6.515000000000001,81821
40,306,6.648333333333333,82248
41,313,6.815,81689
42,133,6.981666666666667,82704
43,280,7.148333333333333,81616
44,267,7.315,82298
45,291,7.481666666666667,82933
46,304,7.648333333333333,83582
47,279,7.815,83817
48,277,7.981666666666667,84270
49,292,8.148333333333333,84344
50,305,8.315000000000001,84659
51,291,8.481666666666667,84466
52,342,8.648333333333333,84849
53,296,8.815000000000001,85417
54,302,8.981666666666667,85926
55,170,9.148333333333333,84583
56,308,9.315000000000001,85578
57,316,9.481666666666667,85456
58,313,9.648333333333333,85727
59,312,9.815000000000001,85147
60,287,9.981666666666667,86487
61,297,10.148333333333333,86356
62,306,10.315000000000001,85991
63,167,10.481666666666667,85031
64,317,10.648333333333333,86168
65,332,10.815000000000001,86388
66,297,10.981666666666667,87369
67,298,11.148333333333333,86992
68,316,11.315000000000001,87565
69,302,11.481666666666667,87103
70,315,11.648333333333333,87767
71,323,11.815000000000001,87593
72,310,11.981666666666667,87667
73,316,12.148333333333333,87117
74,328,12.315000000000001,87386
75,316,12.481666666666667,86937
76,324,12.648333333333333,87245
77,293,12.815000000000001,87164
78,302,12.981666666666667,87811
79,310,13.148333333333333,87016
