,droplet_count,time_in_s,added_size
198,1002,19.8011,39180
199,992,19.901100000000003,39372
200,1004,20.0011,38945
201,1021,20.101100000000002,38697
202,1011,20.2011,38110
203,997,20.3011,37822
204,1008,20.401100000000003,37288
205,1009,20.5011,37039
206,1023,20.601100000000002,36428
207,1022,20.7011,36135
208,1022,20.8011,35648
209,1022,20.901100000000003,35197
210,1021,21.0011,34590
211,1035,21.101100000000002,34143
212,1035,21.2011,33715
213,1036,21.3011,33382
214,1033,21.401100000000003,32662
215,1023,21.5011,32355
216,1024,21.601100000000002,31017
217,1019,21.7011,31194
218,1010,21.8011,30828
219,1023,21.901100000000003,30502
220,1026,22.0011,30103
221,1024,22.101100000000002,29733
222,1041,22.2011,29137
223,1030,22.3011,28823
224,1034,22.401100000000003,28461
225,1034,22.5011,28160
226,1019,22.601100000000002,27633
227,1015,22.7011,27474
228,1017,22.8011,26993
229,1014,22.901100000000003,26752
230,1025,23.0011,26317
231,1023,23.101100000000002,26151
232,1016,23.2011,25836
233,1020,23.3011,25425
234,1023,23.401100000000003,24294
235,1027,23.5011,24046
236,1035,23.601100000000002,23468
237,1035,23.7011,22990
238,1029,23.8011,22425
239,1038,23.901100000000003,22244
240,1029,24.0011,21932
241,1017,24.101100000000002,21705
242,1026,24.2011,21379
243,1030,24.3011,21209
244,1027,24.401100000000003,20947
245,1028,24.5011,20759
246,1029,24.601100000000002,20552
247,1017,24.7011,20455
248,1011,24.8011,20244
249,1012,24.901100000000003,20157
250,1013,25.0011,19918
251,1016,25.101100000000002,19799
252,1022,25.201100000000004,18674
253,1007,25.3011,18802
254,1009,25.401100000000003,18791
255,1009,25.5011,18701
256,1008,25.601100000000002,18629
257,1001,25.701100000000004,18618
258,999,25.8011,18509
259,998,25.901100000000003,18443
